Key;Note;Semitones;Expected_V;Measured_Cents;Notes
1;C;0;;-0.4;
2;C#;1;;1.1;
3;D;2;;3.0;
4;D#;3;;1.9;
5;E;4;;4.0;
6;F;5;;3.1;
7;F#;6;;1.7;
8;G;7;;3.4;
9;G#;8;;1.9;
10;A;9;;0.5;
11;A#;10;;2.3;
12;B;11;;1.1;
13;C;12;;3.2;
14;C#;13;;5.3;
15;D;14;;4.1;
16;D#;15;;2.7;
17;E;16;;5.0;
18;F;17;;3.9;
19;F#;18;;2.6;
20;G;19;;4.7;
21;G#;20;;3.3;
22;A;21;;2.4;
23;A#;22;;4.0;
24;B;23;;3.2;
25;C;24;;2.2;
26;C#;25;;3.9;
27;D;26;;3.2;
28;D#;27;;5.0;
29;E;28;;3.7;
30;F;29;;5.2;
31;F#;30;;3.9;
32;G;31;;6.0;
33;G#;32;;4.8;
34;A;33;;3.4;
35;A#;34;;4.8;
36;B;35;;3.3;
37;C;36;;2.3;
38;C#;37;;4.2;
39;D;38;;3.0;
40;D#;39;;1.9;
41;E;40;;3.5;
42;F;41;;2.2;
43;F#;42;;1.0;
44;G;43;;3.1;
45;G#;44;;1.8;
46;A;45;;0.1;
47;A#;46;;5.1;
48;B;47;;7.0;
49;C;48;;8.3;
50;C#;49;;13.3;
51;D;50;;14.4;
52;D#;51;;15.1;
53;E;52;;18.3;
54;F;53;;15.4;
55;F#;54;;14.6;
56;G;55;;15.5;
57;G#;56;;12.0;
58;A;57;;7.3;
59;A#;58;;18.6;
60;B;59;;23.8;
61;C;60;;25.6;
62;C#;61;;27.1;
63;D;62;;21.9;
64;D#;63;;14.0;
65;E;64;;-2.6;
