# 218e pitch-CV calibration — the voltage the 208 needs at each pitch.
#
# MEASURED ON ONE SPECIFIC INSTRUMENT, WITH ITS 208 SET TO 1 V/OCTAVE.
#
# Both halves of that matter.  A tracking-error curve belongs to the oscillator
# it was measured from, so another 208 needs its own.  And it was taken with
# that 208 trimmed to 1 V/oct, which is not the [options].volts_per_octave
# default of 1.2 — the standard Buchla scaling that most instruments run.  At a
# different scaling the oscillator sits at a different operating point and its
# error curve is not the same one.
#
# So this file is an example and a record, not a starting point: measure your
# own, at the scaling you actually use.  That is why [options].pitch_correction
# is false by default.
#
# Offset_Cents is the only column the build reads: how far the output is
# pushed from an ideal 1 V/octave ramp, in cents of that ramp.  Positive
# raises the pitch.  Semitone 0 is the 208's 0 V pitch, an A; the bottom
# key of the keyboard is semitone 3 (a C), shown in the Key column.
#
# Source:  octave       — from the octave calibration only, below the first key
#          measured     — a key you measured with a tuner
#          extrapolated — beyond the last measured key, holding its correction
#
# To recalibrate: measure the error of each key in cents (positive = sharp)
# and run  tools/build.py --fold-measurement <your.csv>  — it converts and
# folds the readings into this table, which is cumulative.
Semitone;Note;Key;Offset_Cents;Source
0;A;;0.000000;octave
1;A#;;0.000000;octave
2;B;;0.000000;octave
3;C;1;0.400000;measured
4;C#;2;0.394750;measured
5;D;3;-0.402383;measured
6;D#;4;-1.000600;measured
7;E;5;0.796000;measured
8;F;6;-0.401800;measured
9;F#;7;-0.500900;measured
10;G;8;-1.102492;measured
11;G#;9;-0.801283;measured
12;A;10;1.896200;measured
13;A#;11;1.394758;measured
14;B;12;0.696850;measured
15;C;13;-3.300083;measured
16;C#;14;-1.495567;measured
17;D;15;-2.198575;measured
18;D#;16;-2.200958;measured
19;E;17;-3.898808;measured
20;F;18;-1.802275;measured
21;F#;19;-2.000650;measured
22;G;20;-3.201625;measured
23;G#;21;-3.399875;measured
24;A;22;-1.400833;measured
25;A#;23;-1.901400;measured
26;B;24;-3.200000;measured
27;C;25;-4.199833;measured
28;C#;26;-1.600575;measured
29;D;27;-2.999967;measured
30;D#;28;-3.496125;measured
31;E;29;-3.700000;measured
32;F;30;-0.588500;measured
33;F#;31;-0.892750;measured
34;G;32;-1.890092;measured
35;G#;;-2.394000;measured
36;A;;-2.998901;measured
37;A#;;-2.796846;measured
38;B;;0.102149;measured
39;C;;-0.498893;measured
40;C#;;-1.200418;measured
41;D;;-1.800183;measured
42;D#;;0.000493;measured
43;E;;0.102842;measured
44;F;;-0.191793;measured
45;F#;;-0.698287;measured
46;G;;-2.393967;measured
47;G#;;0.933599;measured
48;A;;1.116687;measured
49;A#;;-0.449745;measured
50;B;;1.291715;measured
51;C;;-1.982065;measured
52;C#;;-1.266922;measured
53;D;;-0.346738;measured
54;D#;;1.086638;measured
55;E;;3.080824;measured
56;F;;4.235790;measured
57;F#;;5.146230;measured
58;G;;10.106992;measured
59;G#;;15.907214;measured
60;A;;22.426993;measured
61;A#;;33.637590;measured
62;B;;44.907986;measured
63;C;;61.356579;measured
64;C#;;81.464235;measured
65;D;;106.009765;measured
66;D#;;133.825699;measured
67;E;;175.988500;measured
68;F;;196.878500;extrapolated
69;F#;;217.768500;extrapolated
70;G;;238.658500;extrapolated
71;G#;;259.548500;extrapolated
72;A;;279.292160;extrapolated
73;A#;;256.092160;extrapolated
74;B;;232.892160;extrapolated
75;C;;209.692160;extrapolated
76;C#;;186.492160;extrapolated
77;D;;163.292160;extrapolated
78;D#;;140.092160;extrapolated
